,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
1574,http://www.wikidata.org/entity/Q11558750,Emily Kaiho,1986,female,Japan,Asia,"dancer, tarento, rapper, singer, actor","dancer, tarento, rapper, singer, actor"
1575,http://www.wikidata.org/entity/Q105416175,Bru-C,1991,male,United Kingdom,Europe,"rapper, record producer","rapper, record producer"
1576,http://www.wikidata.org/entity/Q18924277,Radonis,1990,male,Poland,Europe,rapper,rapper
1577,http://www.wikidata.org/entity/Q123034041,Yeruza,1998,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1578,http://www.wikidata.org/entity/Q108619954,Shesha Sayanha,1987,male,Malaysia,Asia,"producer, DJ producer, rapper, songwriter, author, record producer, singer, entrepreneur, composer","producer, DJ producer, rapper, songwriter, author, record producer, singer, entrepreneur, composer"
1579,http://www.wikidata.org/entity/Q64489436,Matt Ox,2004,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1580,http://www.wikidata.org/entity/Q2750897,Hittman,1974,male,United States,North America,"rapper, record producer, composer","rapper, record producer, composer"
1581,http://www.wikidata.org/entity/Q28966105,MC Bilal,1994,male,Germany,Europe,rapper,rapper
1582,http://www.wikidata.org/entity/Q5509984,Fuse ODG,1987,male,United Kingdom,Europe,"rapper, songwriter, singer","rapper, songwriter, singer"
1583,http://www.wikidata.org/entity/Q956808,Lamont Bentley,1973,male,United States,North America,"film actor, rapper, actor","film actor, rapper, actor"
1584,http://www.wikidata.org/entity/Q12331110,Peacefull James,1901,male,Kingdom of Denmark,Europe,rapper,rapper
1585,http://www.wikidata.org/entity/Q89832,Farid Bang,1986,male,"Morocco, Germany, Spain","Africa, Europe","rapper, singer","rapper, singer"
1586,http://www.wikidata.org/entity/Q5048596,Casey Veggies,1993,male,United States,North America,"rapper, songwriter","rapper, songwriter"
1587,http://www.wikidata.org/entity/Q95405527,Doe Boy,1994,male,United States,North America,rapper,rapper
1588,http://www.wikidata.org/entity/Q707990,Pete Rock,1970,male,United States,North America,"rapper, record producer, disc jockey, composer","rapper, record producer, disc jockey, composer"
1589,http://www.wikidata.org/entity/Q127986195,Fiallo,2004,male,Colombia,South America,"rapper, singer, composer","rapper, singer, composer"
1590,http://www.wikidata.org/entity/Q61493249,Roy Purdy,1998,male,United States,North America,"YouTuber, dancer, vlogger, rapper, singer","YouTuber, dancer, vlogger, rapper, singer"
1591,http://www.wikidata.org/entity/Q2278900,Shiml,1984,male,Germany,Europe,rapper,rapper
